C1001;0;Rossi;sophia.rossi@gmail.com
C1002;;Silva;carlos.silva@brazil.com
C1003;Aiko;Tanaka;aiko.tanaka@japan.com
C1004;Emma;Wilson;emma.wilson@usa.com
C1005;Miguel;Gomez;miguel.gomez@spain.com
C1006;John;Smith;john.smith@canada.com
C1007;Alice;Johnson;alice.johnson@uk.com
C1008;Bob Browm;bob.brown@australia.com;missing.c1008@invalid.com
C1009;Diana;Prince;diana.prince@greece.com
C1010;Lee;Kim;lee.kim@korea.com
C1011;Mig;Gomez;miguel.gomez@spain.com
INVALID_PREDEFINED_CLIENT;C1008;Bob Browm;bob.brown@australia.com; [Email cannot be null.]
